Removed GPS by Speed,All GPS's Track ID,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,"Speeds > 1,11111 m/s"
1,518,2020.07.26 05:30:07,2020.07.26 05:30:00,2020.07.26 05:30:07,Resolved QFP,37.921365,16.066898,1.1893045720067483
2,550,2020.07.28 17:33:12,2020.07.28 17:30:00,2020.07.28 17:33:12,Resolved QFP (Uncertain),37.09574,15.514778,1.1309636774935519
3,604,2020.08.02 04:34:30,2020.08.02 04:30:00,2020.08.02 04:34:30,Unresolved QFP,35.559658,14.199204,42.399898399259406
4,671,2020.08.05 07:01:05,2020.08.05 07:00:00,2020.08.05 07:01:05,Resolved QFP (Uncertain),37.520066,3.387964,988.2176159455698
5,708,2020.08.06 08:38:31,2020.08.06 08:30:00,2020.08.06 08:38:31,Unresolved QFP,38.574596,8.602361,282.1557197661676
6,719,2020.08.06 17:36:30,2020.08.06 17:30:00,2020.08.06 17:36:30,Resolved QFP (Uncertain),36.756742,12.375498,4.035555611114845
7,992,2020.08.23 19:36:02,2020.08.23 19:00:00,2020.08.23 19:36:02,Resolved QFP (Uncertain),31.440929,13.346988,171.75018603719724
8,994,2020.08.24 06:58:17,2020.08.24 07:00:00,2020.08.24 06:58:17,Unresolved QFP,40.791548,11.895998,59.95711877259838
9,1007,2020.08.26 01:09:49,2020.08.26 01:00:00,2020.08.26 01:09:49,Unresolved QFP,36.741122,10.545074,10.361685310933922
10,1054,2020.08.30 07:10:28,2020.08.30 07:00:00,2020.08.30 07:10:28,Unresolved QFP,37.934527,8.791929,15.992016453140742
11,1262,2020.09.11 22:58:22,2020.09.11 23:00:00,2020.09.11 22:58:22,Resolved QFP (Uncertain),34.283284,1.751456,234.99330641385214
12,1384,2020.09.19 15:40:49,2020.09.19 15:00:00,2020.09.19 15:40:49,Unresolved QFP,37.093186,4.800333,38.33812957853081
13,1648,2020.10.10 03:25:59,2020.10.10 03:00:00,2020.10.10 03:25:59,Resolved QFP (Uncertain),43.154531,-1.747247,218.95642372073485
14,1825,2020.10.20 23:10:33,2020.10.20 23:00:00,2020.10.20 23:10:33,Unresolved QFP,38.290608,-4.20518,329.99169270780664
15,1885,2020.10.25 10:00:06,2020.10.25 10:00:00,2020.10.25 10:00:06,Resolved QFP,37.668172,-0.362702,1.4003228789745958
16,2002,2020.11.02 05:00:21,2020.11.02 05:00:00,2020.11.02 05:00:21,Resolved QFP,36.76761,0.578677,1.1768987607878465
17,2132,2020.11.09 12:01:17,2020.11.09 12:00:00,2020.11.09 12:01:17,Unresolved QFP,38.976263,5.190254,151.11015996843574
18,2350,2020.11.29 12:40:16,2020.11.29 12:00:00,2020.11.29 12:40:16,Unresolved QFP,40.861672,10.371467,80.56294159769165
19,2588,2020.12.18 15:00:40,2020.12.18 15:00:00,2020.12.18 15:00:40,Unresolved QFP,38.186357,7.759977,21.395576923727987
20,2674,2020.12.23 23:02:39,2020.12.23 23:00:00,2020.12.23 23:02:39,Resolved QFP (Uncertain),37.955519,7.746161,1.5904234771411097
21,2706,2020.12.25 13:45:58,2020.12.25 13:00:00,2020.12.25 13:45:58,Unresolved QFP,37.057437,7.374135,27.786378345607982
22,2779,2020.12.29 09:15:12,2020.12.29 09:00:00,2020.12.29 09:15:12,Unresolved QFP,37.897821,8.595385,1.1458062560992321
23,2849,2021.01.02 17:11:16,2021.01.02 17:00:00,2021.01.02 17:11:16,Unresolved QFP,34.99401,8.23974,41.69783777988451
24,2927,2021.01.07 14:00:02,2021.01.07 14:00:00,2021.01.07 14:00:02,Resolved QFP,38.185465,11.251147,3.8624536446478963
25,2961,2021.01.10 00:00:02,2021.01.10 00:00:00,2021.01.10 00:00:02,Resolved QFP,38.4862,11.233966,1.2253807233470129
26,3020,2021.01.17 16:10:06,2021.01.17 16:00:00,2021.01.17 16:10:06,Unresolved QFP,38.922904,9.838955,6.877652497484898
27,3063,2021.01.21 23:00:19,2021.01.21 23:00:00,2021.01.21 23:00:19,Unresolved QFP,38.056559,10.16652,23.154407361212456
28,3077,2021.01.22 23:00:06,2021.01.22 23:00:00,2021.01.22 23:00:06,Resolved QFP,37.69318,10.328449,5.074020543461243
29,3085,2021.01.23 14:00:06,2021.01.23 14:00:00,2021.01.23 14:00:06,Unresolved QFP,37.466805,10.559674,9.283656527102721
30,3104,2021.01.25 07:25:21,2021.01.25 07:00:00,2021.01.25 07:25:21,Unresolved QFP,37.370202,10.801967,1.344918662114435
31,3122,2021.01.27 09:49:09,2021.01.27 09:00:00,2021.01.27 09:49:09,Unresolved QFP,38.66351,2.824193,29.895207098665225
32,3145,2021.01.29 05:50:59,2021.01.29 05:00:00,2021.01.29 05:50:59,Resolved QFP,37.85336,11.714764,1.1277497801208067
33,3267,2021.02.10 15:59:39,2021.02.10 16:00:00,2021.02.10 15:59:39,Resolved QFP,38.649347,11.491266,111.6546220646173
